# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Country,Location,Perpetrator,Victim_Description,Victim_Age_Group,Victim_Count_Raw,Children_Involved_Context,Incident_Type,Source,Remarks
24-Mar-24,OPT,"Gaza city",Israeli forces,Male minors,Child/Minor,2,Yes (Victims),Strip,Quds News Network,"Two male minors forced to strip to underwear at checkpoint."
14-May-24,Angola,"Mbaka-Nkosi village",Angolan Armed Forces,Women,Adult,Unspecified,No/Unspecified,Rape,Africa ExPress,"Women raped at gunpoint during clashes."
07-May-24,Burundi,"Mutwazi hill, Makamba",CNDD-FDD member,Girl (14-year-old),Child/Minor,1,Yes (Victim),Rape/Kidnap,Ligue Iteka,"14-year-old girl kidnapped and raped."
07-May-24,Burundi,"Burambana hill, Muramvya",CNDD-FDD member,Girl (17-year-old),Child/Minor,1,Yes (Victim),Rape/Kidnap,Ligue Iteka,"17-year-old girl kidnapped and raped."
12-May-24,Burundi,"Nkonyovu hill, Muramvya",CNDD-FDD deputy,Girl (7-year-old),Child/Minor,1,Yes (Brother witness),Rape,Ligue Iteka,"7-year-old girl raped in front of younger brother."
01-02 May 24,Cameroon,"Mora town",Unknown,Woman,Adult,1,No/Unspecified,Sexual Mutilation,Humanity Purpose,"Body of woman found with signs of sexual mutilation."
12-13 May 24,DRC,"Katemo village, Maniema",Militia,Women,Adult,2,No/Unspecified,Rape,Media Congo,"Two women raped by communal militia."
20-21 May 24,DRC,"Kalemie town",Police officers,Girl (17-year-old),Child/Minor,1,Yes (Victim),Rape,Radio Okapi,"17-year-old girl raped by three police officers."
20-21 May 24,DRC,"Kwango River",Mobondo militiamen,Women,Adult,5,No/Unspecified,Kidnap/Rape,Radio Okapi,"Five women kidnapped and raped."
29-Apr-24,Ethiopia,"Wachu Kebele, Oromia",ENDF soldier,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman raped; husband killed."
09-May-24 (Reported),Ethiopia,"Gondar city",ENDF soldier,Boy (5-year-old),Child/Minor,1,Yes (Victim),Rape,Personal Communication,"5-year-old boy raped."
14-May-24,Ethiopia,"Abagula town",ENDF soldiers,Woman (Amhara),Adult,1,No/Unspecified,Rape,Personal Communication,"Amhara woman raped."
18-May-24,Ethiopia,"Merawi city",ENDF soldiers,Man (Amhara),Adult,1,No/Unspecified,Strip/Kill,Personal Communication,"Man stripped naked and killed in street."
19-May-24,Ethiopia,"Ziet Ber district",ENDF soldiers,Girl (16-year-old),Child/Minor,1,Yes (Victim),Kidnap/Rape,Personal Communication,"16-year-old girl kidnapped and raped."
Week of 21 May 24,Ethiopia,"Debre Bizen town",ENDF soldiers,Girl (Amhara),Child/Minor,1,Yes (Victim),Rape,Personal Communication,"Amhara girl raped."
28-May-24,Ethiopia,"Meteba town",ENDF soldiers,Woman,Adult,1,No/Unspecified,Rape/Kill,Personal Communication,"Woman raped and killed."
08-May-24,Kenya,"Eldama Ravine town",KFS rangers,Woman,Adult,1,Yes (Son assaulted),Sexual Harassment,Citizen Digital,"Woman harassed; son assaulted/shot trying to help."
09-May-24,Nigeria,"Ajayi Crowther University",University sheriffs,Student,Adult/Young Adult,1,No/Unspecified,Rape,Vanguard,"Student raped by two university sheriffs."
12-May-24 (Reported),Nigeria,"Tambiaong Ukwa community",Armed men (Military uniform),Women,Adult,Unspecified,No/Unspecified,Rape,Core TV News,"Unspecified number of women raped."
09-May-24,South Sudan,"Malakal city",Unidentified,Woman,Adult,1,No/Unspecified,Rape,WikiRumours,"Woman raped by unidentified perpetrators."
17-May-24 (Reported),Sudan,"El Obeid-Kosti road",RSF soldiers,Girls,Child/Minor,4,Yes (Victims),Rape,Ayin Network,"Four girls raped after bus looted."
22-Apr-24,Sudan,"Umm Rawaba city",RSF,Girls,Child/Minor,3,Yes (Victims),Rape,Sudan Violations,"Three girls raped at the same time."
07-May-24 (Reported),Sudan,"El Obeid city",RSF,Girl (13-year-old),Child/Minor,1,Yes (Victim),Kidnap/Rape,Sudan Violations,"13-year-old girl kidnapped and raped."
08-May-24 (Reported),Sudan,"Darfur",Unknown,Journalists (Female),Adult,6,No/Unspecified,Sexual Assault/Harassment,Sudan Violations,"Six journalists subjected to violence; one sexual assault."
21-May-24,Sudan,"Al Jazirah state",RSF member,Woman (63-year-old),Elderly,1,No/Unspecified,Rape,Personal Communication,"63-year-old woman raped."
25-May-24 (Reported),Sudan,"General",Unknown,Women/Girls,Mixed,377 (131 girls),Yes (131 girls),Rape (Stats),Sudan Tribune,"377 rapes documented since April 2023."
17-May-24,India,"Sandeshkhali village",TMC worker,Minor,Child/Minor,1,Yes (Victim),Sexual Assault,The Hindu,"Minor sexually assaulted in house."
19-May-24,India,"Uluberia city",BSF personnel,Woman,Adult,1,No/Unspecified,Sexual Assault,Financial Express,"Woman sexually assaulted by BSF personnel."
19-May-24,India,"Jangipara village",ITBP constable,Woman,Adult,1,No/Unspecified,Attempted Sexual Assault,Times of India,"Woman nearly sexually assaulted; relatives intervened."
01-May-24,Indonesia,"Kualagi foothill",Unknown (TPNPB accused),Civilian,Adult,1,No/Unspecified,Kill/Strip,ACLED,"Civilian killed and stripped naked."
10-May-24,Myanmar,"Doattan ward, Putao",Armed group,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape/Kill/Torture,BNI online,"15-year-old girl raped, tortured and killed."
18-May-24,Myanmar,"Kyaikmayaw prison",Guards,Political prisoners (Female),Adult,2,No/Unspecified,Sexual Harassment (Strip),The Irrawaddy,"Female prisoners sexually harassed during strip search."
29-May-24,Myanmar,"Byian Phyu village",AA members,Women,Adult,3,No/Unspecified,Rape,The Irrawaddy,"Three women raped during raid."
First week May 24,Russia,"Belgorod city",Wagner mercenary,Boy (15-year-old),Child/Minor,1,Yes (Victim),Kidnap/Rape,VG news,"15-year-old boy kidnapped and raped."
01-May-24 (Reported),OPT,"Prison (Unspecified)",Israeli guards,Males,Adult,Unspecified,No/Unspecified,Strip/Assault,Quds News Network,"Males stripped and forced to lie on top of each other."
01-May-24 (Reported),OPT,"Prison (Unspecified)",Israeli guards,Male detainee,Adult,1,No/Unspecified,Rape (Object),Quds News Network,"Male detainee raped with food items."
01-May-24 (Reported),OPT,"Detention centre",Israeli guards,Male detainees,Adult,Unspecified,No/Unspecified,Genital Abuse/Strip,Quds News Network,"Detainees stripped and beaten on genitals."
23-May-24,OPT,"Jenin city",Israeli forces,Men,Adult,4,No/Unspecified,Strip,Quds News Network,"Four men stripped half naked."
30-May-24 (Reported),OPT,"Unspecified",Israeli soldier,Women (Detained),Adult,3,No/Unspecified,Sexual Assault,Quds News Network,"Three women sexually assaulted in military vehicle."
Week of 16 May 24,Syria,"Al-Raqqah",Unknown,Boy (12-year-old),Child/Minor,1,Yes (Victim),Kidnap/Sexual Assault/Kill,SOHR,"12-year-old boy kidnapped, assaulted and killed."
27-May-24 (Reported),Syria,"Ras Al-Ain",Turkish-backed Nation Army,Girl (Al-Jubour tribe),Child/Minor,1,Yes (Victim),Rape,SOHR,"Girl from Al-Jubour tribe raped."
27-Apr-24 (Reported),Brazil,"Belford Roxo",TCP member,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman raped by TCP member."
08-May-24 (Reported),Haiti,"Gonaives",Bandits,Girl (19-year-old),Adult/Young Adult,1,No/Unspecified,Kidnap/Gang-rape,RFM,"19-year-old girl kidnapped and gang-raped."
21-May-24,Honduras,"Brisas de Jaguaca",Armed men,Mother and Daughter (12),Mixed,2,Yes (Daughter victim),Sexual Abuse/Kill,El Heraldo,"Mother and 12-year-old daughter sexually abused and killed."
22-May-24,USA,"ICE detention (Louisiana)",Immigration guards,Female detainee,Adult,1,No/Unspecified,Sexual/Physical Abuse,National Immigrant Justice Centre,"Female detainee sexually and physically abused."23-Jan-23,Burundi,"Buhiga commune, Karuzi",CNDD-FDD member,Minor,Child/Minor,1,Yes (Victim),Rape,ACLED,"Minor raped by CNDD-FDD member; perpetrator arrested."
23-Jan-23,Cameroon,"Amchide town, Far North",Suspected Boko Haram,Women,Adult,3,No/Unspecified,Rape,Sembe TV,"Three women raped by militants while looking for firewood."
02-Jan-23,DRC,"Kisharo village, North Kivu",FDLR-RUD militants,Civilians,Adult,2,No/Unspecified,Rape/Kidnap,Kivu Security Tracker,"Two hostages raped whilst in captivity."
06-Jan-23,DRC,"Mudugudu village, North Kivu",M23 and RDX militants,Women,Adult,7,No/Unspecified,Rape/Kill,Kivu Security Tracker,"Seven women raped; six of them were killed."
09-Jan-23,DRC,"Lusenda camp, North Kivu",Mai-Mai group,Women,Adult,Unspecified number,No/Unspecified,Sexual Harassment,Radio Publique Africaine,"Women sexually harassed during a raid on the camp."
20-Jan-23,Nigeria,"Awka, Anambra State",Gunmen,University students,Adult/Young Adult,9,No/Unspecified,Rape/Robbery,Sahara Reporters,"Nine female students raped by 20 gunmen raiding hostel."
01-Jan-23,Sudan,"North Darfur state",Gunmen,Girl (13-year-old),Child/Minor,1,Yes (Victim),Rape,Dabanga Sudan,"13-year-old girl raped by gunmen after ambush."
20-Jan-23,Sudan,"Nierteti town, Central Darfur",Unknown,IDP Farmer (20-year-old),Adult,1,No/Unspecified,Rape/Kill,Dabanga Sudan,"20-year-old female IDP raped and killed on way home."
27-Jan-23,Sudan,"Taronga area, Central Darfur",Armed men (Military uniform),Woman (20-year-old),Adult,1,No/Unspecified,Rape,Dabanga Sudan,"20-year-old woman raped by men in military uniforms."
03-Jan-23,South Sudan,"Mangalla area, Central Equatoria",Bari/Bor Dinka communities,Women,Adult,Unspecified number,No/Unspecified,Rape,ACLED,"Unspecified number of women raped during community violence."
11-Jan-23 (Reported),Colombia,"San Jose del Guaviare",Soldiers,Indigenous children,Child/Minor,Unspecified number,Yes (Victims),Sexual Abuse (Investigation),Colombia Reports,"118 soldiers investigated for sexually abusing indigenous children in 2019."
06-Feb-23,Burundi,"Rwingoma village, Karuzi",Imbonerakure,Woman,Adult,1,No/Unspecified,Sexual Assault,ACLED,"Woman sexually assaulted by Imbonerakure while sheltering from rain."
06-Feb-23,Burundi,"Kigwati II hill, Bujumbura Rural",Imbonerakure,Minor,Child/Minor,1,Yes (Victim),Sexual Assault,ACLED,"Minor sexually assaulted by three Imbonerakure members."
09-Feb-23,Cameroon,"Zelevet village, Far North",ISWAP or Boko Haram,Woman (28-year-old),Adult,1,No/Unspecified,Sexual Assault/Kill,ACLED,"28-year-old woman sexually assaulted and killed."
20-Feb-23,Cameroon,"Bali-Nyonga town, Ouest",Ambazonian Separatists,Girl (18-year-old),Adult/Young Adult,1,No/Unspecified,Rape/Torture/Kill,ACLED,"18-year-old girl tortured, raped and beheaded."
07-Feb-23,DRC,"Kambi village, North Kivu",FARDC soldier,Civilian,Adult,1,No/Unspecified,Rape,Kivu Security Tracker,"Civilian raped in field by soldier."
13-Feb-23,DRC,"Birambizo village, North Kivu",M23/RDF,Women,Adult,2,No/Unspecified,Rape/Kill,Kivu Security Tracker,"Two women raped and killed."
17-Feb-23 (Reported),DRC,"Kishishe town, North Kivu",M23,Women and girls,Mixed,66 (Nov 2022),Yes (Girls victims),Rape,Amnesty International,"66 women and girls raped in Nov 2022."
23-Jan-23,Ethiopia,"Zalambesa town, Tigray",Eritrean soldier,Woman,Adult,1,No/Unspecified,Rape,BBC News,"Woman raped by Eritrean soldier."
07-Feb-23,Sudan,"Dangei village, West Darfur",Armed men,Girl (14-year-old),Child/Minor,1,Yes (Victim),Rape,Dabanga Sudan,"14-year-old girl raped by four armed men."
13-Feb-23,Sudan,"Al-Damazin city, Blue Nile",SAF soldiers,Patient,Adult,1,No/Unspecified,Sexual Assault,ACJPS,"Female patient sexually assaulted by soldiers in hospital."
14-Feb-23,Sudan,"Near Mershing camp, South Darfur",Armed men,IDP Women,Adult,3,No/Unspecified,Rape,Dabanga Sudan,"Three displaced women raped collecting firewood."
15-Feb-23,Sudan,"Near Tabit village, North Darfur",Armed men,Women,Adult,2,No/Unspecified,Rape,Dabanga Sudan,"Two women raped fetching firewood."
15-Feb-23,Sudan,"Near Zamzam camp, North Darfur",RSF soldiers,IDP Women,Adult,6 (2 raped),No/Unspecified,Rape/Assault,ACLED,"Two women raped and others beaten/shot."
28-Feb-23,Afghanistan,"Khaniqah village, Sar-i-Pul",Taliban members,Woman and Daughters,Mixed,3 (1 woman 2 girls),Yes (Daughters victims),Rape,Amnesty International,"Woman and two daughters raped in home."
23-Feb-23,Myanmar,"Sagaing region",Tatmadaw soldiers,Women,Adult,Unspecified number,No/Unspecified,Rape,CBS News,"Unspecified number of women raped during raid."
02-Mar-23,Myanmar,"Tar Taing village, Sagaing",Soldiers,Women,Adult,3,No/Unspecified,Rape/Kill,CBS News,"Three women beaten, raped and shot dead."
02-Feb-23 (Reported),Ukraine,"Bilmak town",Russian colonel,POW (Male),Adult,1,No/Unspecified,Sexual Violence (Threat),BBC News,"Male POW stripped and threatened with castration."
27-Jan-23 (Reported),Iran,"Noshahr",Revolutionary Guard,Man (31-year-old),Adult,1,No/Unspecified,Sexual Assault/Torture,Amnesty,"Man sexually assaulted and tortured."
27-Jan-23 (Reported),Iran,"Noshahr",Revolutionary Guard,Man (19-year-old),Adult/Young Adult,1,No/Unspecified,Rape/Torture,Amnesty,"19-year-old man raped and tortured."
06-Feb-23 (Reported),Iran,"Gilan province",Security forces,Women and Men,Mixed,11,No/Unspecified,Rape/Sexual Violence,The Guardian,"11 people reported rape/sexual violence in custody."
06-Feb-23 (Reported),Iran,"Gilan province",Security forces,Woman (25-year-old),Adult,1,No/Unspecified,Rape/Torture,The Guardian,"25-year-old woman stripped and raped."
06-Feb-23 (Reported),Iran,"Sanandaj city",Security officers,Woman (40s),Adult,1,No/Unspecified,Sexual Assault,The Guardian,"Woman in 40s sexually assaulted by 8 officers."
06-Feb-23 (Reported),Iran,"Mashhad city",Police officers,Man (30-year-old),Adult,1,No/Unspecified,Rape,The Guardian,"30-year-old man raped inside police van."
08-Feb-23,Iran,"Zahedan city",Police forces,Teenager (Male),Child/Minor,1,Yes (Victim),Sexual Assault/Suicide,ACLED,"Teenager sexually assaulted in detention; committed suicide."
07-Mar-23 (Reported),DRC,"Salamabila, Maniema",Various,Women/Men,Mixed,2605 (Feb 22-Jan 23),No/Unspecified,Sexual Violence (Stats),Radio Okapi,"2605 cases recorded in one year."
09-Mar-23,DRC,"Kamanyola, South Kivu",FARDC Colonel,Girl (14-year-old),Child/Minor,1,Yes (Victim),Rape (Sentencing),Radio Okapi,"Colonel sentenced for raping 14-year-old girl."
09-Mar-23,DRC,"Kamanyola, South Kivu",FARDC Major,Girl (16-year-old),Child/Minor,1,Yes (Victim),Rape (Sentencing),Radio Okapi,"Major sentenced for raping 16-year-old girl."
23-Mar-23,Nigeria,"Agatu LGA, Benue",Herdsmen,Women,Adult,Unspecified number,No/Unspecified,Rape,BNN Newsroom,"Unspecified number of women raped."
27-Mar-23,Nigeria,"Adunu/Beni, Niger",Militia,Women,Adult,3,No/Unspecified,Rape/Kidnap,ACLED,"Three women kidnapped and raped."
01-Mar-23,Afghanistan,"Suzme Qala, Sar-e-pul",Taliban members,Woman and Daughters (11/13),Mixed,3,Yes (Daughters victims),Rape,Afghan Women News,"Woman and daughters (11 & 13) raped in home."
09-Mar-23,Afghanistan,"Samangan province",Taliban official,Woman (Taliban dept member),Adult,1,No/Unspecified,Sexual Assault,NRF,"Woman sexually assaulted by Taliban secretary."
14-Mar-23 (Reported),Ukraine,"Bovary district",Russian soldiers,Woman and Daughter (4yo),Mixed,2,Yes (4yo victim),Rape,Reuters,"Woman and 4-year-old daughter raped; father forced to watch."
14-Mar-23 (Reported),Ukraine,"Bovary district",Russian soldiers,Woman (41) and Girl (17),Mixed,2,Yes (17yo victim),Rape,Reuters,"41-year-old woman and 17-year-old girl raped."
14-Mar-23 (Reported),Ukraine,"Bovary district",Russian soldiers,Girl (15) and Mother,Mixed,2,Yes (15yo victim),Rape,Reuters,"15-year-old girl and her mother raped."
13-Apr-23 (Reported),Angola,"Lunda Norde",Angolan security,Congolese women/children,Mixed,122 cases (2023),Yes (Children victims),Rape/Abuse,Al Jazeera,"Mass expulsion rape cases recorded in DRC clinics."
12-Apr-23,Central African Republic,"Tooubanko 1",FACA soldiers,Woman,Adult,1,No/Unspecified,Rape,Corbeau News,"Woman raped inside her home."
04-Apr-23,DRC,"Landa-Vie village, Ituri",Armed men,Civilians,Adult,2,No/Unspecified,Rape/Kill,Kivu Security Tracker,"Two civilians raped and killed."
05-Apr-23,DRC,"Kyanganda village",Armed man,Civilian,Adult,1,No/Unspecified,Rape/Abduct,Kivu Security Tracker,"Civilian abducted and raped."
06-Apr-23,DRC,"Hewa Bora, Maniema",Mai-Mai militia,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape,ACLED,"15-year-old girl raped."
09-Apr-23,Ghana,"Gomoa-Ojobi",Fulani herdsmen,Woman,Adult,1,No/Unspecified,Rape,Ghana Web,"Woman raped by five armed herdsmen."
03-Apr-23,Malawi,"Marka Nyathando",Police officer,Girl (17-year-old),Child/Minor,1,Yes (Victim),Rape,Malawi 24,"17-year-old girl raped in police cell."
22-Apr-23,Somalia,"Near Dhabad village",Clan militia,Women,Adult,6,No/Unspecified,Rape/Assault,ACLED,"Six women raped and assaulted."
17-Apr-23,Sudan,"Khartoum",RSF members,Aid worker (Female),Adult,1,No/Unspecified,Attempted Sexual Assault,Personal Communication,"Attempted sexual assault of international aid worker."
27-Apr-23,Sudan,"Unspecified",RSF members,Ethiopian women,Adult,3,No/Unspecified,Rape,Personal Communication,"Three Ethiopian women raped."
03-Apr-23 (Reported),Afghanistan,"Wardooj district",Taliban relative,Nurse,Adult,1,No/Unspecified,Rape/Suicide,ACLED,"Nurse raped; later committed suicide."
17-Apr-23 (Reported),Afghanistan,"Balkh province",Taliban,Former officer (Male),Adult,1,No/Unspecified,Torture (Genitals),Kabul Now,"Male officer torture with objects tied to genitals."
17-Apr-23 (Reported),Afghanistan,"Mazar-i-Sharif prison",Taliban soldiers,Woman,Adult,1,No/Unspecified,Sexual Assault,Kabul Now,"Woman sexually assaulted on five occasions."
20-Apr-23,Afghanistan,"Khalian village, Takhar",Taliban members,Woman (25-year-old),Adult,1,No/Unspecified,Rape,Kabul Now,"25-year-old woman raped."
27-Apr-23,Afghanistan,"Sad-Seyah area, Ghor",Taliban fighters,Woman (33-year-old),Adult,1,No/Unspecified,Attempted Rape/Kill,Hash-e-Subh,"Woman killed after attempted rape."
10-Apr-23 (Reported),Pakistan,"Kakar area, Sindh",Armed men,Boy,Child/Minor,1,Yes (Victim),Rape/Kill,ACLED,"Boy raped and killed."
06-Apr-23,Brazil,"Porto Real",Drug trafficker,Girl,Child/Minor,1,Yes (Victim),Rape,ACLED,"Girl raped by drug trafficker."
16-Apr-23,Brazil,"Juiz de Fora",Drug trafficker,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman raped over drug debt."
26-Apr-23,Brazil,"Saquarema",Military police,Woman,Adult,1,No/Unspecified,Rape/Torture,ACLED,"Woman tortured and raped by police."
11-May-23,DRC,"Kitovo village, North Kivu",Mai-Mai UPLC,Civilian,Adult,1,No/Unspecified,Rape/Abduct,Kivu Security Tracker,"Civilian abducted and raped."
19-May-23,DRC,"Kaseke village, North Kivu",Armed men,Civilian,Adult,1,No/Unspecified,Rape/Abduct,Kivu Security Tracker,"Civilian abducted and raped."
20-May-23,DRC,"Mubere village, South Kivu",Mai-Mai Buhirwha,Civilian,Adult,1,No/Unspecified,Rape/Kidnap,Kivu Security Tracker,"Civilian kidnapped and raped."
11-May-23,Nigeria,"Bokkos village, Plateau",Group of men,Students (Female),Adult/Young Adult,3,No/Unspecified,Rape,Vanguard,"Three female students raped collecting firewood."
14-May-23,Sudan,"Khartoum",RSF members,Women,Adult,2,No/Unspecified,Rape,Personal Communication,"Two women raped."
Early May 2023,Sudan,"Omdurman",RSF,Ethiopian women (22/25yo),Adult,2,No/Unspecified,Rape,Radio Dabanga,"Two Ethiopian women raped inside university residence."
15-May-23,Sudan,"Omdurman",RSF affiliated group,Women,Adult,2,No/Unspecified,Rape,Radio Dabanga,"Two women raped."
16-May-23 (Reported),Sudan,"Otash IDP camp, South Darfur",Unknown,Women and girls,Mixed,24,Yes (Girls victims),Rape/Kidnap,Al Jazeera,"24 women and girls kidnapped and raped."
16-May-23,Sudan,"Khartoum Bahri",Unknown,Women (18/20yo),Adult,2,No/Unspecified,Rape,Radio Dabanga,"Two women raped."
16-May-23,Sudan,"Kafouri, Khartoum North",RSF soldiers,Girl (15-year-old),Child/Minor,1,Yes (Victim),Rape,Radio Dabanga,"15-year-old South Sudanese girl raped on street."
18-May-23,Sudan,"Khartoum",Unknown,Persons (Gender unspecified),Unknown,2,No/Unspecified,Rape,Radio Dabanga,"Two persons raped in bus station."
18-May-23,Sudan,"Khartoum-Wad Madani hwy",Unknown,Women,Adult,2,No/Unspecified,Rape,Radio Dabanga,"Two women raped along road in front of travellers."
28-May-23 (Reported),Sudan,"Khartoum",RSF,Eritrean women,Adult,3,No/Unspecified,Rape/Abuse,Radio Dabanga,"Three Eritrean women raped/abused."
02-May-23,Afghanistan,"Panjshir province",Taliban commander,Policewoman,Adult,1,No/Unspecified,Rape,Afghan Women News,"Policewoman raped by Taliban commander."
28-May-23,Cameroon,"Bafoussam city",Gendarmerie,Woman,Adult,1,No/Unspecified,Rape,CamerounWeb,"Woman raped by gendarmerie."
30-May-23,Cameroon,"Bafoussam city",Soldiers,Woman (22-year-old),Adult,1,No/Unspecified,Rape/Beat,Camer.be,"22-year-old woman raped and beaten."
11-12 Jun 23,Cameroon,"Bafoussam city",Officers/Soldiers,Girls (Young),Child/Minor,20,Yes (Victims),Sexual Assault,Camer.be,"Around 20 young girls sexually assaulted."
31-May-23,Comoros,"Mutsamudu City",Police officer,Migrant (Malagasy),Adult,1,No/Unspecified,Rape,ACLED,"Malagasy migrant raped in police station."
10-May-23 (Reported),DRC,"North Kivu",Armed men (50%),IDPs,Adult,674,No/Unspecified,Sexual Assault,Radio Okapi,"674 IDPs sexually assaulted searching for food."
13-Jun-23 (Reported),DRC,"Masisi territory",M23 militia,Woman (46-year-old),Adult,1,No/Unspecified,Rape (Feb 23),HRW,"46-year-old woman raped; mother killed."
13-Jun-23 (Reported),DRC,"Kitchanga town",M23 militia,Woman (22-year-old),Adult,1,No/Unspecified,Rape (Feb 23),HRW,"22-year-old woman raped in residence."
13-Jun-23 (Reported),DRC,"Kitchanga town",M23 militia,Woman (28-year-old),Adult,1,No/Unspecified,Rape (Jan 23),HRW,"28-year-old woman raped in residence."
13-Jun-23 (Reported),DRC,"Kitchanga town",M23 militia,Women,Adult,4,No/Unspecified,Rape (Jan 23),HRW,"Four women raped; male companion killed."
17-Jun-23,DRC,"Moanda town",FARDC,Girl,Child/Minor,1,Yes (Victim),Sexual Assault,ACLED,"Girl sexually assaulted by FARDC."
17-Jun-23 (Reported),DRC,"Kayembe camp, North Kivu",Wazalendu combatants,Women,Adult,Unspecified number,No/Unspecified,Rape,Radio Okapi,"Unspecified number of women raped."
17-Jun-23 (Reported),DRC,"Kayembe camp, North Kivu",Wazalendu combatants,Woman,Adult,1,No/Unspecified,Rape (Repeated),Radio Okapi,"Woman raped ten times inside camp."
28-Jun-23,DRC,"Biruwe village",FARDC soldiers,Wife of soldier,Adult,1,No/Unspecified,Sexual Violence (Strip/Whip),Radio Okapi,"Soldier's wife undressed and whipped."
21-Jun-23,Ethiopia,"Delanta district, Amhara",ENDF soldier,Girl (8-year-old),Child/Minor,1,Yes (Victim),Rape,Mereja,"8-year-old girl raped by soldier."
31-May-23,Kenya,"Aterait town, Busia",Police officer,Woman (21-year-old),Adult,1,No/Unspecified,Rape,Citizen Digital,"21-year-old woman raped during search."
12-Jun-23 (Reported),Kenya,"Aterait town, Busia",Police officers,Females,Adult,3,No/Unspecified,Rape,Citizen Digital,"Three females raped during home search."
01-May-23,Mali,"InBarane village",MSA-D militiamen,Girls,Child/Minor,2,Yes (Victims),Rape,ACLED,"Two girls raped."
26-May-23,Mali,"Gao city",Armed group,Girl,Child/Minor,1,Yes (Victim),Rape/Torture/Kill,ACLED,"Girl raped, tortured and killed."
19-Jun-23,Mozambique,"Mocimboa da Praia",FADM soldiers,Woman,Adult,1,No/Unspecified,Attempted Rape,Club of Mozambique,"Soldiers attempted to rape woman."
05-May-23,Nigeria,"Ilorin city",Doctor,Nurse,Adult,1,No/Unspecified,Rape,Vanguard,"Nurse raped by doctor while sedated."
26-Jun-23,Nigeria,"Danmusa town",Armed men,Women,Adult,3,No/Unspecified,Rape,Daily Post,"Three women raped in revenge attack."
04-Jun-23,South Sudan,"Mukaya payam, Lainya",Herder,Girl (16-year-old),Child/Minor,1,Yes (Mother killed),Rape/Kill,Wiki Rumours,"16-year-old girl raped; mother killed."
04-Jun-23,South Sudan,"Lotome-Kikilai road",Criminal group,Humanitarian workers,Adult,3,No/Unspecified,Strip/Beat,Radio Tamazuj,"Workers beaten and stripped."
Late April 2023,Sudan,"Darfur (Unspecified)",Armed men (RSF uniforms),Women,Adult,12,No/Unspecified,Rape,AFP,"12 women raped in warehouse."
Mid-May 2023,Sudan,"Khartoum state",RSF,Women,Adult,4,No/Unspecified,Rape,Africa News,"Four women raped fleeing conflict."
22-May-23,Sudan,"Omdurman",RSF,Women (21/23yo),Adult,2,No/Unspecified,Rape,Radio Dabanga,"Two women raped inside home."
22-May-23,Sudan,"El Obeid/Dibebad",RSF,Women (South Sudanese),Adult,4,No/Unspecified,Rape,Radio Dabanga,"Four women taken from bus and raped."
23-May-23,Sudan,"El Geneina",Armed men (RSF backed),Journalist (Female),Adult,1,No/Unspecified,Rape/Beat,Radio Dabanga,"Female journalist abducted and raped."
06-Jun-23,Sudan,"Kutum town, North Darfur",RSF/Border Guards,Women/Girls,Mixed,18 (4 girls),Yes (Girls victims),Rape,Radio Dabanga,"18 women/girls raped during fighting."
07-Jun-23 (Reported),Sudan,"Khartoum",RSF,Displaced women,Adult,Unspecified,No/Unspecified,Sexual Exploitation,Radio Dabanga,"Sexual exploitation of displaced women."
14-Jun-23 (Reported),Sudan,"North Kordofan",Unknown,Woman,Adult,1,No/Unspecified,Rape,Radio Dabanga,"Woman raped."
14-Jun-23 (Reported),Sudan,"Abu Shouk camp",Armed men,IDP Women,Adult,2,No/Unspecified,Rape,Radio Dabanga,"Two IDP women raped."
14-Jun-23 (Reported),Sudan,"El Fashir",Unknown,Woman,Adult,1,No/Unspecified,Rape,Radio Dabanga,"Woman raped."
14-Jun-23 (Reported),Sudan,"General",Unknown,Women/Children,Mixed,49 cases,Yes (Children victims),Sexual Assault,Africa News,"49 sexual assaults reported."
16-Jun-23 (Reported),Sudan,"Khartoum",Soldiers (Drunken),Women,Adult,11,No/Unspecified,Rape,Radio Dabanga,"11 women raped."
16-Jun-23,Sudan,"Dibebad town",Armed men,Women (inc 60yo),Adult/Elderly,3,No/Unspecified,Rape,Radio Dabanga,"Three women raped after being forced off bus."
18-Jun-23,Sudan,"Khartoum",RSF soldier,Woman,Adult,1,No/Unspecified,Rape,ACLED,"Woman raped by RSF soldier."
19-Jun-23,Sudan,"Unspecified",RSF forces,Women,Adult,3,No/Unspecified,Rape/Kill,ACLED,"Three women raped and killed."
12-Jun-23,Uganda,"Agago district",Suspected warriors,Women,Adult,2,No/Unspecified,Rape/Strip,Monitor Uganda,"Two women raped and stripped naked."
29-May-23,Zambia,"Shapande town",Police officer,Girl (14-year-old),Child/Minor,1,Yes (Victim),Rape,Zambia Reports,"14-year-old girl raped in custody."
29-May-23,Zambia,"Njomona township",School gardener,Girl (4-year-old),Child/Minor,1,Yes (Victim),Sexual Assault,Zambia Reports,"4-year-old girl sexually assaulted at school."
